infinitive,tense,ingles,yo,tu,el_ella_usted,nosotros_-as,vosotros_-as,ellos/ellas/ustedes,time_attempted,times_correct,precentage
ser,Present,I am,soy,eres,es,somos,sois,son,0,0,0
ser,Present Perfect,I have been,he sido,has sido,ha sido,hemos sido,habéis sido,han sido,0,0,0
ser,Imperfect,"I used to be, was",era,eras,era,éramos,erais,eran,0,0,0
ser,Preterite,I was,fui,fuiste,fue,fuimos,fuisteis,fueron,0,0,0
ser,Past Perfect - Pluperfect,I had been,había sido,habías sido,había sido,habíamos sido,habíais sido,habían sido,0,0,0
ser,Future,I will be,seré,serás,será,seremos,seréis,serán,0,0,0
ser,Future Perfect,I will have been,habré sido,habrás sido,habrá sido,habremos sido,habréis sido,habrán sido,0,0,0
ser,Conditional,I would be,sería,serías,sería,seríamos,seríais,serían,0,0,0
ser,Conditional Perfect,I would have been,habría sido,habrías sido,habría sido,habríamos sido,habríais sido,habrían sido,0,0,0
ser,Preterite Perfect,I had been,hube sido,hubiste sido,hubo sido,hubimos sido,hubisteis sido,hubieron sido,0,0,0